Year,Infectious diseases,Age,Region,Value
2024,Pertussis,under 1 year,Ternopil,91.9
2024,"Diphtheria, tetanus",18 months,Ternopil,88.8
2024,Pertussis,18 months,Ternopil,88.8
2024,"Diphtheria, tetanus",6 years,Ternopil,84.4
2024,"Diphtheria, tetanus",adults,Ternopil,96.9
2024,"Measles, mumps, rubella",1 year,Ternopil,92.8
2024,"Measles, mumps, rubella",6 years,Ternopil,92.3
2024,Hepatitis B,under 1 year,Ternopil,80.3
2024,Tuberculosis,under 1 year,Kharkiv,93.2
2024,Poliomyelitis,under 1 year,Kharkiv,84.0
2024,Poliomyelitis,18 months,Kharkiv,87.5
2024,Poliomyelitis,6 years,Kharkiv,94.5
2024,Poliomyelitis,14 years,Kharkiv,90.8
2024,"Diphtheria, tetanus",under 1 year,Kharkiv,87.1
2024,Pertussis,under 1 year,Kharkiv,87.1
2024,"Diphtheria, tetanus",18 months,Kharkiv,88.5
2024,Pertussis,18 months,Kharkiv,88.5
2024,"Diphtheria, tetanus",6 years,Kharkiv,82.3
2024,"Diphtheria, tetanus",adults,Kharkiv,74.1
2024,"Measles, mumps, rubella",1 year,Kharkiv,88.0
2024,"Measles, mumps, rubella",6 years,Kharkiv,92.2
2024,Hepatitis B,under 1 year,Kharkiv,88.9
2024,Tuberculosis,under 1 year,Kherson,99.6
2024,Poliomyelitis,under 1 year,Kherson,99.3
2024,Poliomyelitis,18 months,Kherson,99.8
2024,Poliomyelitis,6 years,Kherson,100.0
2024,Poliomyelitis,14 years,Kherson,98.0
2024,"Diphtheria, tetanus",under 1 year,Kherson,98.0
2024,Pertussis,under 1 year,Kherson,98.0
2024,"Diphtheria, tetanus",18 months,Kherson,99.8
2024,Pertussis,18 months,Kherson,99.8
2024,"Diphtheria, tetanus",6 years,Kherson,99.4
2024,"Diphtheria, tetanus",adults,Kherson,100.0
2024,"Measles, mumps, rubella",1 year,Kherson,98.1
2024,"Measles, mumps, rubella",6 years,Kherson,100.0
2024,Hepatitis B,under 1 year,Kherson,95.6
2024,Tuberculosis,under 1 year,Khmelnytskiy,98.0
2024,Poliomyelitis,under 1 year,Khmelnytskiy,93.8
2024,Poliomyelitis,18 months,Khmelnytskiy,87.4
2024,Poliomyelitis,6 years,Khmelnytskiy,79.6
2024,Poliomyelitis,14 years,Khmelnytskiy,74.8
2024,"Diphtheria, tetanus",under 1 year,Khmelnytskiy,91.6
2024,Pertussis,under 1 year,Khmelnytskiy,91.6
2024,"Diphtheria, tetanus",18 months,Khmelnytskiy,90.4
2024,Pertussis,18 months,Khmelnytskiy,90.4
2024,"Diphtheria, tetanus",6 years,Khmelnytskiy,72.4
2024,"Diphtheria, tetanus",adults,Khmelnytskiy,80.0
2024,"Measles, mumps, rubella",1 year,Khmelnytskiy,92.9
2024,"Measles, mumps, rubella",6 years,Khmelnytskiy,81.8
2024,Hepatitis B,under 1 year,Khmelnytskiy,92.5
2024,Tuberculosis,under 1 year,Cherkasy,93.7
2024,Poliomyelitis,under 1 year,Cherkasy,90.9
2024,Poliomyelitis,18 months,Cherkasy,92.3
2024,Poliomyelitis,6 years,Cherkasy,86.0
2024,Poliomyelitis,14 years,Cherkasy,85.1
2024,"Diphtheria, tetanus",under 1 year,Cherkasy,91.1
2024,Pertussis,under 1 year,Cherkasy,91.1
2024,"Diphtheria, tetanus",18 months,Cherkasy,90.9
2024,Pertussis,18 months,Cherkasy,90.9
2024,"Diphtheria, tetanus",6 years,Cherkasy,78.4
2024,"Diphtheria, tetanus",adults,Cherkasy,76.6
2024,"Measles, mumps, rubella",1 year,Cherkasy,93.2
2024,"Measles, mumps, rubella",6 years,Cherkasy,80.7
2024,Hepatitis B,under 1 year,Cherkasy,90.4
2024,Tuberculosis,under 1 year,Chernivtsi,92.9
2024,Poliomyelitis,under 1 year,Chernivtsi,78.1
2024,Poliomyelitis,18 months,Chernivtsi,80.2
2024,Poliomyelitis,6 years,Chernivtsi,75.9
2024,Poliomyelitis,14 years,Chernivtsi,67.7
2024,"Diphtheria, tetanus",under 1 year,Chernivtsi,79.8
2024,Pertussis,under 1 year,Chernivtsi,79.8
2024,"Diphtheria, tetanus",18 months,Chernivtsi,80.4
2024,Pertussis,18 months,Chernivtsi,80.4
2024,"Diphtheria, tetanus",6 years,Chernivtsi,71.1
2024,"Diphtheria, tetanus",adults,Chernivtsi,60.8
2024,"Measles, mumps, rubella",1 year,Chernivtsi,83.2
2024,"Measles, mumps, rubella",6 years,Chernivtsi,78.0
2024,Hepatitis B,under 1 year,Chernivtsi,78.9
2024,Tuberculosis,under 1 year,Chernihiv,79.9
2024,Poliomyelitis,under 1 year,Chernihiv,96.0
2024,Poliomyelitis,18 months,Chernihiv,95.6
2024,Poliomyelitis,6 years,Chernihiv,96.7
2024,Poliomyelitis,14 years,Chernihiv,94.3
2024,"Diphtheria, tetanus",under 1 year,Chernihiv,94.8
2024,Pertussis,under 1 year,Chernihiv,94.8
2024,"Diphtheria, tetanus",18 months,Chernihiv,91.4
2024,Pertussis,18 months,Chernihiv,91.4
2024,"Diphtheria, tetanus",6 years,Chernihiv,78.3
2024,"Diphtheria, tetanus",adults,Chernihiv,98.9
2024,"Measles, mumps, rubella",1 year,Chernihiv,94.5
2024,"Measles, mumps, rubella",6 years,Chernihiv,85.8
2024,Hepatitis B,under 1 year,Chernihiv,96.4
2015,ill_10_haemophilic_infection,under 1 year,,43.28719598135232
2015,ill_10_haemophilic_infection,1 year,,39.17324589896643
2015,ill_10_haemophilic_infection,under 1 year,Vinnytsya,32.4
2015,ill_10_haemophilic_infection,1 year,Vinnytsya,28.7
2015,ill_10_haemophilic_infection,under 1 year,Volyn,26.3
2015,ill_10_haemophilic_infection,1 year,Volyn,63.2
2015,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,45.8
2015,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,39.5
2015,ill_10_haemophilic_infection,under 1 year,Donetsk,53.7
2015,ill_10_haemophilic_infection,1 year,Donetsk,67.2
2015,ill_10_haemophilic_infection,under 1 year,Zhytomyr,47.5
2015,ill_10_haemophilic_infection,1 year,Zhytomyr,38.9
2015,ill_10_haemophilic_infection,under 1 year,Zakarpattya,45.7
2015,ill_10_haemophilic_infection,1 year,Zakarpattya,20.2
2015,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,43.3
2015,ill_10_haemophilic_infection,1 year,Zaporizhzhya,53.0
2015,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,46.2
2015,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,79.1
2015,ill_10_haemophilic_infection,under 1 year,Kyiv,35.7
2015,ill_10_haemophilic_infection,1 year,Kyiv,29.6
2015,ill_10_haemophilic_infection,under 1 year,Kirovohrad,42.3
2015,ill_10_haemophilic_infection,1 year,Kirovohrad,34.3
2015,ill_10_haemophilic_infection,under 1 year,Luhansk,51.451138868479056
2015,ill_10_haemophilic_infection,1 year,Luhansk,85.20879120879121
2015,ill_10_haemophilic_infection,under 1 year,Lviv,53.3
2015,ill_10_haemophilic_infection,1 year,Lviv,18.3
2015,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,39.3
2015,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,42.0
2015,ill_10_haemophilic_infection,under 1 year,Odesa,49.4
2015,ill_10_haemophilic_infection,1 year,Odesa,44.3
2015,ill_10_haemophilic_infection,under 1 year,Poltava,19.4
2015,ill_10_haemophilic_infection,1 year,Poltava,29.6
2015,ill_10_haemophilic_infection,under 1 year,Rivne,30.4
2015,ill_10_haemophilic_infection,1 year,Rivne,49.5
2015,ill_10_haemophilic_infection,under 1 year,Sumy,40.8
2015,ill_10_haemophilic_infection,1 year,Sumy,42.4
2015,ill_10_haemophilic_infection,under 1 year,Ternopil,32.4
2015,ill_10_haemophilic_infection,1 year,Ternopil,12.2
2015,ill_10_haemophilic_infection,under 1 year,Kharkiv,36.9
2015,ill_10_haemophilic_infection,1 year,Kharkiv,74.0
2015,ill_10_haemophilic_infection,under 1 year,Kherson,45.2
2015,ill_10_haemophilic_infection,1 year,Kherson,20.9
2015,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,25.8
2015,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,0.3
2015,ill_10_haemophilic_infection,under 1 year,Cherkasy,44.5
2015,ill_10_haemophilic_infection,1 year,Cherkasy,69.2
2015,ill_10_haemophilic_infection,under 1 year,Chernivtsi,41.6
2015,ill_10_haemophilic_infection,1 year,Chernivtsi,8.1
2015,ill_10_haemophilic_infection,under 1 year,Chernihiv,43.8
2015,ill_10_haemophilic_infection,1 year,Chernihiv,36.0
2015,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,75.1
2015,ill_10_haemophilic_infection,1 year,the city of Kyiv,45.9
2016,ill_10_haemophilic_infection,under 1 year,,36.692999751903166
2016,ill_10_haemophilic_infection,1 year,,52.13479899662477
2016,ill_10_haemophilic_infection,under 1 year,Vinnytsya,28.3
2016,ill_10_haemophilic_infection,1 year,Vinnytsya,49.9
2016,ill_10_haemophilic_infection,under 1 year,Volyn,20.0
2016,ill_10_haemophilic_infection,1 year,Volyn,41.1
2016,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,36.1
2016,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,60.0
2016,ill_10_haemophilic_infection,under 1 year,Donetsk,83.7
2016,ill_10_haemophilic_infection,1 year,Donetsk,79.0
2016,ill_10_haemophilic_infection,under 1 year,Zhytomyr,37.3
2016,ill_10_haemophilic_infection,1 year,Zhytomyr,33.6
2016,ill_10_haemophilic_infection,under 1 year,Zakarpattya,34.0
2016,ill_10_haemophilic_infection,1 year,Zakarpattya,44.1
2016,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,25.5
2016,ill_10_haemophilic_infection,1 year,Zaporizhzhya,56.6
2016,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,33.6
2016,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,57.6
2016,ill_10_haemophilic_infection,under 1 year,Kyiv,36.2
2016,ill_10_haemophilic_infection,1 year,Kyiv,67.2
2016,ill_10_haemophilic_infection,under 1 year,Kirovohrad,39.7
2016,ill_10_haemophilic_infection,1 year,Kirovohrad,54.5
2016,ill_10_haemophilic_infection,under 1 year,Luhansk,94.7936507936508
2016,ill_10_haemophilic_infection,1 year,Luhansk,93.62962962962963
2016,ill_10_haemophilic_infection,under 1 year,Lviv,28.0
2016,ill_10_haemophilic_infection,1 year,Lviv,43.3
2016,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,29.4
2016,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,49.2
2016,ill_10_haemophilic_infection,under 1 year,Odesa,42.3
2016,ill_10_haemophilic_infection,1 year,Odesa,42.7
2016,ill_10_haemophilic_infection,under 1 year,Poltava,22.0
2016,ill_10_haemophilic_infection,1 year,Poltava,58.4
2016,ill_10_haemophilic_infection,under 1 year,Rivne,22.2
2016,ill_10_haemophilic_infection,1 year,Rivne,48.1
2016,ill_10_haemophilic_infection,under 1 year,Sumy,19.6
2016,ill_10_haemophilic_infection,1 year,Sumy,39.6
2016,ill_10_haemophilic_infection,under 1 year,Ternopil,37.2
2016,ill_10_haemophilic_infection,1 year,Ternopil,51.3
2016,ill_10_haemophilic_infection,under 1 year,Kharkiv,30.6
2016,ill_10_haemophilic_infection,1 year,Kharkiv,71.2
2016,ill_10_haemophilic_infection,under 1 year,Kherson,26.3
2016,ill_10_haemophilic_infection,1 year,Kherson,93.7
2016,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,14.4
2016,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,45.9
2016,ill_10_haemophilic_infection,under 1 year,Cherkasy,46.3
2016,ill_10_haemophilic_infection,1 year,Cherkasy,87.4
2016,ill_10_haemophilic_infection,under 1 year,Chernivtsi,32.8
2016,ill_10_haemophilic_infection,1 year,Chernivtsi,6.0
2016,ill_10_haemophilic_infection,under 1 year,Chernihiv,39.0
2016,ill_10_haemophilic_infection,1 year,Chernihiv,58.8
2016,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,71.8
2016,ill_10_haemophilic_infection,1 year,the city of Kyiv,41.4
2017,ill_10_haemophilic_infection,under 1 year,,34.8
2017,ill_10_haemophilic_infection,1 year,,44.5
2017,ill_10_haemophilic_infection,under 1 year,Vinnytsya,33.2
2017,ill_10_haemophilic_infection,1 year,Vinnytsya,47.3
2017,ill_10_haemophilic_infection,under 1 year,Volyn,8.3
2017,ill_10_haemophilic_infection,1 year,Volyn,9.3
2017,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,44.0
2017,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,60.6
2017,ill_10_haemophilic_infection,under 1 year,Donetsk,54.3
2017,ill_10_haemophilic_infection,1 year,Donetsk,65.7
2017,ill_10_haemophilic_infection,under 1 year,Zhytomyr,17.2
2017,ill_10_haemophilic_infection,1 year,Zhytomyr,16.9
2017,ill_10_haemophilic_infection,under 1 year,Zakarpattya,25.2
2017,ill_10_haemophilic_infection,1 year,Zakarpattya,33.3
2017,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,34.5
2017,ill_10_haemophilic_infection,1 year,Zaporizhzhya,57.5
2017,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,32.1
2017,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,55.3
2017,ill_10_haemophilic_infection,under 1 year,Kyiv,32.8
2017,ill_10_haemophilic_infection,1 year,Kyiv,41.8
2017,ill_10_haemophilic_infection,under 1 year,Kirovohrad,20.3
2017,ill_10_haemophilic_infection,1 year,Kirovohrad,48.5
2017,ill_10_haemophilic_infection,under 1 year,Luhansk,88.3
2017,ill_10_haemophilic_infection,1 year,Luhansk,32.1
2017,ill_10_haemophilic_infection,under 1 year,Lviv,39.2
2017,ill_10_haemophilic_infection,1 year,Lviv,54.0
2017,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,30.2
2017,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,28.5
2017,ill_10_haemophilic_infection,under 1 year,Odesa,33.4
2017,ill_10_haemophilic_infection,1 year,Odesa,40.5
2017,ill_10_haemophilic_infection,under 1 year,Poltava,46.2
2017,ill_10_haemophilic_infection,1 year,Poltava,62.7
2017,ill_10_haemophilic_infection,under 1 year,Rivne,11.2
2017,ill_10_haemophilic_infection,1 year,Rivne,14.4
2017,ill_10_haemophilic_infection,under 1 year,Sumy,32.5
2017,ill_10_haemophilic_infection,1 year,Sumy,48.6
2017,ill_10_haemophilic_infection,under 1 year,Ternopil,28.7
2017,ill_10_haemophilic_infection,1 year,Ternopil,60.6
2017,ill_10_haemophilic_infection,under 1 year,Kharkiv,22.5
2017,ill_10_haemophilic_infection,1 year,Kharkiv,43.7
2017,ill_10_haemophilic_infection,under 1 year,Kherson,28.7
2017,ill_10_haemophilic_infection,1 year,Kherson,55.2
2017,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,21.6
2017,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,17.3
2017,ill_10_haemophilic_infection,under 1 year,Cherkasy,47.5
2017,ill_10_haemophilic_infection,1 year,Cherkasy,75.0
2017,ill_10_haemophilic_infection,under 1 year,Chernivtsi,17.7
2017,ill_10_haemophilic_infection,1 year,Chernivtsi,11.2
2017,ill_10_haemophilic_infection,under 1 year,Chernihiv,21.3
2017,ill_10_haemophilic_infection,1 year,Chernihiv,21.1
2017,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,80.5
2017,ill_10_haemophilic_infection,1 year,the city of Kyiv,73.9
2018,ill_10_haemophilic_infection,under 1 year,,52.5
2018,ill_10_haemophilic_infection,1 year,,57.7
2018,ill_10_haemophilic_infection,under 1 year,Vinnytsya,50.8
2018,ill_10_haemophilic_infection,1 year,Vinnytsya,54.5
2018,ill_10_haemophilic_infection,under 1 year,Volyn,30.0
2018,ill_10_haemophilic_infection,1 year,Volyn,51.1
2018,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,53.6
2018,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,64.1
2018,ill_10_haemophilic_infection,under 1 year,Donetsk,36.0
2018,ill_10_haemophilic_infection,1 year,Donetsk,54.7
2018,ill_10_haemophilic_infection,under 1 year,Zhytomyr,36.5
2018,ill_10_haemophilic_infection,1 year,Zhytomyr,60.7
2018,ill_10_haemophilic_infection,under 1 year,Zakarpattya,69.3
2018,ill_10_haemophilic_infection,1 year,Zakarpattya,51.2
2018,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,63.7
2018,ill_10_haemophilic_infection,1 year,Zaporizhzhya,75.2
2018,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,34.2
2018,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,36.9
2018,ill_10_haemophilic_infection,under 1 year,Kyiv,61.9
2018,ill_10_haemophilic_infection,1 year,Kyiv,61.5
2018,ill_10_haemophilic_infection,under 1 year,Kirovohrad,56.2
2018,ill_10_haemophilic_infection,1 year,Kirovohrad,74.3
2018,ill_10_haemophilic_infection,under 1 year,Luhansk,66.7
2018,ill_10_haemophilic_infection,1 year,Luhansk,93.9
2018,ill_10_haemophilic_infection,under 1 year,Lviv,65.2
2018,ill_10_haemophilic_infection,1 year,Lviv,62.4
2018,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,63.4
2018,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,68.7
2018,ill_10_haemophilic_infection,under 1 year,Odesa,36.4
2018,ill_10_haemophilic_infection,1 year,Odesa,39.8
2018,ill_10_haemophilic_infection,under 1 year,Poltava,77.6
2018,ill_10_haemophilic_infection,1 year,Poltava,83.7
2018,ill_10_haemophilic_infection,under 1 year,Rivne,41.5
2018,ill_10_haemophilic_infection,1 year,Rivne,60.0
2018,ill_10_haemophilic_infection,under 1 year,Sumy,64.3
2018,ill_10_haemophilic_infection,1 year,Sumy,63.8
2018,ill_10_haemophilic_infection,under 1 year,Ternopil,40.3
2018,ill_10_haemophilic_infection,1 year,Ternopil,36.0
2018,ill_10_haemophilic_infection,under 1 year,Kharkiv,56.1
2018,ill_10_haemophilic_infection,1 year,Kharkiv,66.7
2018,ill_10_haemophilic_infection,under 1 year,Kherson,40.9
2018,ill_10_haemophilic_infection,1 year,Kherson,66.0
2018,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,43.2
2018,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,32.0
2018,ill_10_haemophilic_infection,under 1 year,Cherkasy,68.2
2018,ill_10_haemophilic_infection,1 year,Cherkasy,68.4
2018,ill_10_haemophilic_infection,under 1 year,Chernivtsi,42.5
2018,ill_10_haemophilic_infection,1 year,Chernivtsi,40.2
2018,ill_10_haemophilic_infection,under 1 year,Chernihiv,59.8
2018,ill_10_haemophilic_infection,1 year,Chernihiv,76.5
2018,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,58.6
2018,ill_10_haemophilic_infection,1 year,the city of Kyiv,46.9
2019,ill_10_haemophilic_infection,under 1 year,,76.5
2019,ill_10_haemophilic_infection,1 year,,80.0
2019,ill_10_haemophilic_infection,under 1 year,Vinnytsya,79.1
2019,ill_10_haemophilic_infection,1 year,Vinnytsya,76.5
2019,ill_10_haemophilic_infection,under 1 year,Volyn,65.5
2019,ill_10_haemophilic_infection,1 year,Volyn,74.8
2019,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,78.1
2019,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,86.0
2019,ill_10_haemophilic_infection,under 1 year,Donetsk,65.2
2019,ill_10_haemophilic_infection,1 year,Donetsk,67.2
2019,ill_10_haemophilic_infection,under 1 year,Zhytomyr,80.6
2019,ill_10_haemophilic_infection,1 year,Zhytomyr,84.0
2019,ill_10_haemophilic_infection,under 1 year,Zakarpattya,59.4
2019,ill_10_haemophilic_infection,1 year,Zakarpattya,69.3
2019,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,77.8
2019,ill_10_haemophilic_infection,1 year,Zaporizhzhya,84.4
2019,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,64.8
2019,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,62.5
2019,ill_10_haemophilic_infection,under 1 year,Kyiv,78.4
2019,ill_10_haemophilic_infection,1 year,Kyiv,83.8
2019,ill_10_haemophilic_infection,under 1 year,Kirovohrad,71.7
2019,ill_10_haemophilic_infection,1 year,Kirovohrad,85.2
2019,ill_10_haemophilic_infection,under 1 year,Luhansk,90.1
2019,ill_10_haemophilic_infection,1 year,Luhansk,98.7
2019,ill_10_haemophilic_infection,under 1 year,Lviv,81.5
2019,ill_10_haemophilic_infection,1 year,Lviv,80.9
2019,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,84.3
2019,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,85.4
2019,ill_10_haemophilic_infection,under 1 year,Odesa,66.6
2019,ill_10_haemophilic_infection,1 year,Odesa,70.8
2019,ill_10_haemophilic_infection,under 1 year,Poltava,94.4
2019,ill_10_haemophilic_infection,1 year,Poltava,92.4
2019,ill_10_haemophilic_infection,under 1 year,Rivne,69.2
2019,ill_10_haemophilic_infection,1 year,Rivne,68.8
2019,ill_10_haemophilic_infection,under 1 year,Sumy,77.4
2019,ill_10_haemophilic_infection,1 year,Sumy,78.2
2019,ill_10_haemophilic_infection,under 1 year,Ternopil,74.2
2019,ill_10_haemophilic_infection,1 year,Ternopil,79.7
2019,ill_10_haemophilic_infection,under 1 year,Kharkiv,77.1
2019,ill_10_haemophilic_infection,1 year,Kharkiv,87.5
2019,ill_10_haemophilic_infection,under 1 year,Kherson,78.8
2019,ill_10_haemophilic_infection,1 year,Kherson,91.4
2019,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,67.3
2019,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,55.5
2019,ill_10_haemophilic_infection,under 1 year,Cherkasy,86.6
2019,ill_10_haemophilic_infection,1 year,Cherkasy,91.4
2019,ill_10_haemophilic_infection,under 1 year,Chernivtsi,87.5
2019,ill_10_haemophilic_infection,1 year,Chernivtsi,88.5
2019,ill_10_haemophilic_infection,under 1 year,Chernihiv,84.5
2019,ill_10_haemophilic_infection,1 year,Chernihiv,85.3
2019,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,84.4
2019,ill_10_haemophilic_infection,1 year,the city of Kyiv,86.4
2020,ill_10_haemophilic_infection,under 1 year,,85.1
2020,ill_10_haemophilic_infection,1 year,,83.6
2020,ill_10_haemophilic_infection,under 1 year,Vinnytsya,83.7
2020,ill_10_haemophilic_infection,1 year,Vinnytsya,86.4
2020,ill_10_haemophilic_infection,under 1 year,Volyn,76.5
2020,ill_10_haemophilic_infection,1 year,Volyn,73.2
2020,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,86.1
2020,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,86.5
2020,ill_10_haemophilic_infection,under 1 year,Donetsk,76.7
2020,ill_10_haemophilic_infection,1 year,Donetsk,74.1
2020,ill_10_haemophilic_infection,under 1 year,Zhytomyr,84.2
2020,ill_10_haemophilic_infection,1 year,Zhytomyr,77.2
2020,ill_10_haemophilic_infection,under 1 year,Zakarpattya,92.9
2020,ill_10_haemophilic_infection,1 year,Zakarpattya,88.9
2020,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,77.9
2020,ill_10_haemophilic_infection,1 year,Zaporizhzhya,83.2
2020,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,78.6
2020,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,74.7
2020,ill_10_haemophilic_infection,under 1 year,Kyiv,90.2
2020,ill_10_haemophilic_infection,1 year,Kyiv,89.0
2020,ill_10_haemophilic_infection,under 1 year,Kirovohrad,89.3
2020,ill_10_haemophilic_infection,1 year,Kirovohrad,100.0
2020,ill_10_haemophilic_infection,under 1 year,Luhansk,90.2
2020,ill_10_haemophilic_infection,1 year,Luhansk,94.9
2020,ill_10_haemophilic_infection,under 1 year,Lviv,83.2
2020,ill_10_haemophilic_infection,1 year,Lviv,85.5
2020,ill_10_haemophilic_infection,under 1 year,23_reg_Mykolaiv,89.3
2020,ill_10_haemophilic_infection,1 year,23_reg_Mykolaiv,85.1
2020,ill_10_haemophilic_infection,under 1 year,Odesa,75.0
2020,ill_10_haemophilic_infection,1 year,Odesa,66.7
2020,ill_10_haemophilic_infection,under 1 year,Poltava,91.2
2020,ill_10_haemophilic_infection,1 year,Poltava,90.3
2020,ill_10_haemophilic_infection,under 1 year,Rivne,78.5
2020,ill_10_haemophilic_infection,1 year,Rivne,80.4
2020,ill_10_haemophilic_infection,under 1 year,Sumy,88.9
2020,ill_10_haemophilic_infection,1 year,Sumy,88.9
2020,ill_10_haemophilic_infection,under 1 year,Ternopil,85.0
2020,ill_10_haemophilic_infection,1 year,Ternopil,96.0
2020,ill_10_haemophilic_infection,under 1 year,Kharkiv,87.7
2020,ill_10_haemophilic_infection,1 year,Kharkiv,92.6
2020,ill_10_haemophilic_infection,under 1 year,Kherson,79.8
2020,ill_10_haemophilic_infection,1 year,Kherson,83.8
2020,ill_10_haemophilic_infection,under 1 year,31_reg_Khmelnytskyi,79.9
2020,ill_10_haemophilic_infection,1 year,31_reg_Khmelnytskyi,69.5
2020,ill_10_haemophilic_infection,under 1 year,Cherkasy,92.1
2020,ill_10_haemophilic_infection,1 year,Cherkasy,92.9
2020,ill_10_haemophilic_infection,under 1 year,Chernivtsi,79.8
2020,ill_10_haemophilic_infection,1 year,Chernivtsi,76.3
2020,ill_10_haemophilic_infection,under 1 year,Chernihiv,81.4
2020,ill_10_haemophilic_infection,1 year,Chernihiv,68.3
2020,ill_10_haemophilic_infection,under 1 year,the city of Kyiv,99.0
2020,ill_10_haemophilic_infection,1 year,the city of Kyiv,91.3
2021,ill_10_haemophilic_infection,under 1 year,,90.9
2021,ill_10_haemophilic_infection,1 year,,87.0
2021,ill_10_haemophilic_infection,under 1 year,Vinnytsya,86.2
2021,ill_10_haemophilic_infection,1 year,Vinnytsya,80.6
2021,ill_10_haemophilic_infection,under 1 year,Volyn,78.3
2021,ill_10_haemophilic_infection,1 year,Volyn,72.8
2021,ill_10_haemophilic_infection,under 1 year,Dnipropetrovsk,97.8
2021,ill_10_haemophilic_infection,1 year,Dnipropetrovsk,99.9
2021,ill_10_haemophilic_infection,under 1 year,Donetsk,86.3
2021,ill_10_haemophilic_infection,1 year,Donetsk,83.2
2021,ill_10_haemophilic_infection,under 1 year,Zhytomyr,92.3
2021,ill_10_haemophilic_infection,1 year,Zhytomyr,82.0
2021,ill_10_haemophilic_infection,under 1 year,Zakarpattya,71.2
2021,ill_10_haemophilic_infection,1 year,Zakarpattya,63.0
2021,ill_10_haemophilic_infection,under 1 year,Zaporizhzhya,82.5
2021,ill_10_haemophilic_infection,1 year,Zaporizhzhya,71.6
2021,ill_10_haemophilic_infection,under 1 year,18_reg_Ivano_Frankivsk,92.2
2021,ill_10_haemophilic_infection,1 year,18_reg_Ivano_Frankivsk,78.0
2021,ill_10_haemophilic_infection,under 1 year,Kyiv,93.5
2021,ill_10_haemophilic_infection,1 year,Kyiv,91.7
2021,ill_10_haemophilic_infection,under 1 year,Kirovohrad,92.1
2021,ill_10_haemophilic_infection,1 year,Kirovohrad,98.9
2021,ill_10_haemophilic_infection,under 1 year,Luhansk,88.1
2021,ill_10_haemophilic_infection,1 year,Luhansk,96.1
