Year,CouncilLevel,Region,Sex,Value
2020,,31_reg_Khmelnytskiy,women,37.08
2021,,31_reg_Khmelnytskiy,men,63.1
2021,,31_reg_Khmelnytskiy,women,36.9
2022,,31_reg_Khmelnytskiy,men,63.08
2022,,31_reg_Khmelnytskiy,women,36.92
2023,,31_reg_Khmelnytskiy,men,62.91
2023,,31_reg_Khmelnytskiy,women,37.09
2015,,32_reg_Cherkasy,women,53.83
2015,,32_reg_Cherkasy,men,46.17
2016,,32_reg_Cherkasy,women,53.65
2016,,32_reg_Cherkasy,men,46.35
2017,,32_reg_Cherkasy,women,52.81
2017,,32_reg_Cherkasy,men,47.19
2018,,32_reg_Cherkasy,men,48.26
2018,,32_reg_Cherkasy,women,51.74
2019,,32_reg_Cherkasy,men,48.51
2019,,32_reg_Cherkasy,women,51.49
2020,,32_reg_Cherkasy,men,61.11
2020,,32_reg_Cherkasy,women,38.89
2021,,32_reg_Cherkasy,men,61.16
2021,,32_reg_Cherkasy,women,38.84
2022,,32_reg_Cherkasy,men,61.08
2022,,32_reg_Cherkasy,women,38.92
2023,,32_reg_Cherkasy,men,61.14
2023,,32_reg_Cherkasy,women,38.86
2015,,33_reg_Chernivtsi,women,37.70
2015,,33_reg_Chernivtsi,men,62.30
2016,,33_reg_Chernivtsi,women,37.24
2016,,33_reg_Chernivtsi,men,62.76
2017,,33_reg_Chernivtsi,women,36.72
2017,,33_reg_Chernivtsi,men,63.28
2018,,33_reg_Chernivtsi,men,63.26
2018,,33_reg_Chernivtsi,women,36.74
2019,,33_reg_Chernivtsi,men,63.66
2019,,33_reg_Chernivtsi,women,36.34
2020,,33_reg_Chernivtsi,men,67.21
2020,,33_reg_Chernivtsi,women,32.79
2021,,33_reg_Chernivtsi,men,66.97
2021,,33_reg_Chernivtsi,women,33.03
2022,,33_reg_Chernivtsi,men,66.81
2022,,33_reg_Chernivtsi,women,33.19
2023,,33_reg_Chernivtsi,men,66.88
2023,,33_reg_Chernivtsi,women,33.12
2015,,34_reg_Chernihiv,women,58.64
2015,,34_reg_Chernihiv,men,41.36
2016,,34_reg_Chernihiv,women,57.31
2016,,34_reg_Chernihiv,men,42.69
2017,,34_reg_Chernihiv,women,53.44
2017,,34_reg_Chernihiv,men,46.56
2018,,34_reg_Chernihiv,men,46.55
2018,,34_reg_Chernihiv,women,53.45
2019,,34_reg_Chernihiv,men,49.16
2019,,34_reg_Chernihiv,women,50.84
2020,,34_reg_Chernihiv,men,59.48
2020,,34_reg_Chernihiv,women,40.52
2021,,34_reg_Chernihiv,men,59.43
2021,,34_reg_Chernihiv,women,40.57
2022,,34_reg_Chernihiv,men,59.68
2022,,34_reg_Chernihiv,women,40.32
2023,,34_reg_Chernihiv,men,59.83
2023,,34_reg_Chernihiv,women,40.17
2015,,35_reg_Kyiv_city,women,18.33
2015,,35_reg_Kyiv_city,men,81.67
2016,,35_reg_Kyiv_city,women,18.33
2016,,35_reg_Kyiv_city,men,81.67
2017,,35_reg_Kyiv_city,women,18.33
2017,,35_reg_Kyiv_city,men,81.67
2018,,35_reg_Kyiv_city,men,81.67
2018,,35_reg_Kyiv_city,women,18.33
2019,,35_reg_Kyiv_city,men,80.83
2019,,35_reg_Kyiv_city,women,19.17
2020,,35_reg_Kyiv_city,men,71.67
2020,,35_reg_Kyiv_city,women,28.33
2021,,35_reg_Kyiv_city,men,72.27
2021,,35_reg_Kyiv_city,women,27.73
2022,,35_reg_Kyiv_city,men,70.83
2022,,35_reg_Kyiv_city,women,99.17
2023,,35_reg_Kyiv_city,men,72.03
2023,,35_reg_Kyiv_city,women,97.97
2015,,city_Sevastopol,women,
2015,,city_Sevastopol,men,
2016,,city_Sevastopol,women,
2016,,city_Sevastopol,men,
2017,,city_Sevastopol,women,
2017,,city_Sevastopol,men,
2018,,city_Sevastopol,men,
2018,,city_Sevastopol,women,
2019,,city_Sevastopol,men,
2019,,city_Sevastopol,women,
2020,,city_Sevastopol,men,
2020,,city_Sevastopol,women,
2021,,city_Sevastopol,men,
2021,,city_Sevastopol,women,
2022,,city_Sevastopol,women,
2023,,city_Sevastopol,men,
2023,,city_Sevastopol,women,
2015,regional_councils,,women,14.95
2015,regional_councils,,men,85.05
2016,regional_councils,,women,14.96
2016,regional_councils,,men,85.04
2017,regional_councils,,women,15.12
2017,regional_councils,,men,84.88
2018,regional_councils,,women,15.29
2018,regional_councils,,men,84.71
2019,regional_councils,,women,15.5
2019,regional_councils,,men,84.5
2020,regional_councils,,women,26.76
2020,regional_councils,,men,73.24
2021,regional_councils,,women,26.88
2021,regional_councils,,men,73.12
2022,regional_councils,,women,27.37
2022,regional_councils,,men,72.63
2023,regional_councils,,women,27.55
2023,regional_councils,,men,72.45
2015,district_councils,,women,24.02
2015,district_councils,,men,75.98
2016,district_councils,,women,24.11
2016,district_councils,,men,75.89
2017,district_councils,,women,24.36
2017,district_councils,,men,75.64
2018,district_councils,,women,24.39
2018,district_councils,,men,75.61
2019,district_councils,,women,24.45
2019,district_councils,,men,75.55
2020,district_councils,,women,34.7
2020,district_councils,,men,65.3
2021,district_councils,,women,34.66
2021,district_councils,,men,65.34
2022,district_councils,,women,34.67
2022,district_councils,,men,65.33
2023,district_councils,,women,34.34
2023,district_councils,,men,65.66
2015,city_councils,,women,29.07
2015,city_councils,,men,70.93
2016,city_councils,,women,28.7
2016,city_councils,,men,71.3
2017,city_councils,,women,28.68
2017,city_councils,,men,71.32
2018,city_councils,,women,28.71
2018,city_councils,,men,71.29
2019,city_councils,,women,28.83
2019,city_councils,,men,71.17
2020,city_councils,,women,33.12
2020,city_councils,,men,66.88
2021,city_councils,,women,33.22
2021,city_councils,,men,66.78
2022,city_councils,,women,33.32
2022,city_councils,,men,66.68
2023,city_councils,,women,33.29
2023,city_councils,,men,66.71
2015,district_councils_in_cities,,women,33.3
2015,district_councils_in_cities,,men,66.7
2016,district_councils_in_cities,,women,33.59
2016,district_councils_in_cities,,men,66.41
2017,district_councils_in_cities,,women,33.98
2017,district_councils_in_cities,,men,66.02
2018,district_councils_in_cities,,women,33.79
2018,district_councils_in_cities,,men,66.21
2019,district_councils_in_cities,,women,33.88
2019,district_councils_in_cities,,men,66.12
2020,district_councils_in_cities,,women,43.24
2020,district_councils_in_cities,,men,56.76
2021,district_councils_in_cities,,women,42.6
2021,district_councils_in_cities,,men,57.4
2022,district_councils_in_cities,,women,42.5
2022,district_councils_in_cities,,men,57.5
2023,district_councils_in_cities,,women,42.45
2023,district_councils_in_cities,,men,57.55
2015,settlement_councils,,women,46.11
2015,settlement_councils,,men,53.89
2016,settlement_councils,,women,45.19
2016,settlement_councils,,men,54.81
2017,settlement_councils,,women,44.43
2017,settlement_councils,,men,55.57
2018,settlement_councils,,women,44.02
2018,settlement_councils,,men,55.98
2019,settlement_councils,,women,43.88
2019,settlement_councils,,men,56.12
2020,settlement_councils,,women,37.92
2020,settlement_councils,,men,62.08
2021,settlement_councils,,women,38.0
2021,settlement_councils,,men,62.0
2022,settlement_councils,,women,38.05
2022,settlement_councils,,men,61.95
2023,settlement_councils,,women,37.99
2023,settlement_councils,,men,62.01
2015,village_councils,,women,55.66
2015,village_councils,,men,44.34
2016,village_councils,,women,55.12
2016,village_councils,,men,44.88
2017,village_councils,,women,54.41
2017,village_councils,,men,45.59
2018,village_councils,,women,54.22
2018,village_councils,,men,45.78
2019,village_councils,,women,53.71
2019,village_councils,,men,46.29
2020,village_councils,,women,41.28
2020,village_councils,,men,58.72
2021,village_councils,,women,41.2
2021,village_councils,,men,58.8
2022,village_councils,,women,41.23
2022,village_councils,,men,58.77
2023,village_councils,,women,41.07
2023,village_councils,,men,58.93
2024,,,,
