Year,By type of indicators,Type of water supply,Region,Value
2024,sanitary and chemical indicators,urban water pipelines,Dnipropetrovsk,53.1
2015,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,57.1
2016,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,42.4
2017,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,69.4
2018,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,63.4
2019,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,58.4
2020,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,47.4
2021,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,57.4
2022,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,75.7
2023,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,54.0
2024,sanitary and chemical indicators,rural water pipelines,Dnipropetrovsk,43.7
2015,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,45.4
2016,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,34.3
2017,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,33.8
2018,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,29.5
2019,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,38.0
2020,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,36.4
2021,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,34.2
2022,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,38.3
2023,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,40.6
2024,sanitary and chemical indicators,non-centralized water supply,Dnipropetrovsk,28.6
2015,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2016,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2017,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2018,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2019,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2020,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2021,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2022,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2023,radiation indicators,urban water pipelines,Dnipropetrovsk,1.9
2024,radiation indicators,urban water pipelines,Dnipropetrovsk,0.0
2015,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2016,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2017,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2018,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2019,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2020,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2021,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2022,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2023,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2024,radiation indicators,rural water pipelines,Dnipropetrovsk,0.0
2015,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2016,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2017,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2018,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2019,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2020,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2021,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2022,radiation indicators,non-centralized water supply,Dnipropetrovsk,4.1
2023,radiation indicators,non-centralized water supply,Dnipropetrovsk,6.9
2024,radiation indicators,non-centralized water supply,Dnipropetrovsk,0.0
2015,microbiological indicators,urban water pipelines,Donetsk,2.8
2016,microbiological indicators,urban water pipelines,Donetsk,2.6
2017,microbiological indicators,urban water pipelines,Donetsk,5.8
2018,microbiological indicators,urban water pipelines,Donetsk,4.6
2019,microbiological indicators,urban water pipelines,Donetsk,5.2
2020,microbiological indicators,urban water pipelines,Donetsk,3.8
2021,microbiological indicators,urban water pipelines,Donetsk,4.3
2022,microbiological indicators,urban water pipelines,Donetsk,4.1
2023,microbiological indicators,urban water pipelines,Donetsk,4.8
2024,microbiological indicators,urban water pipelines,Donetsk,3.2
2015,microbiological indicators,rural water pipelines,Donetsk,5.5
2016,microbiological indicators,rural water pipelines,Donetsk,6.6
2017,microbiological indicators,rural water pipelines,Donetsk,10.3
2018,microbiological indicators,rural water pipelines,Donetsk,11.3
2019,microbiological indicators,rural water pipelines,Donetsk,12.9
2020,microbiological indicators,rural water pipelines,Donetsk,12.4
2021,microbiological indicators,rural water pipelines,Donetsk,12.1
2022,microbiological indicators,rural water pipelines,Donetsk,1.7
2023,microbiological indicators,rural water pipelines,Donetsk,8.2
2024,microbiological indicators,rural water pipelines,Donetsk,9.3
2015,microbiological indicators,non-centralized water supply,Donetsk,25.1
2016,microbiological indicators,non-centralized water supply,Donetsk,12.6
2017,microbiological indicators,non-centralized water supply,Donetsk,41.1
2018,microbiological indicators,non-centralized water supply,Donetsk,26.6
2019,microbiological indicators,non-centralized water supply,Donetsk,23.1
2020,microbiological indicators,non-centralized water supply,Donetsk,29.6
2021,microbiological indicators,non-centralized water supply,Donetsk,26.7
2022,microbiological indicators,non-centralized water supply,Donetsk,63.1
2023,microbiological indicators,non-centralized water supply,Donetsk,56.7
2024,microbiological indicators,non-centralized water supply,Donetsk,22.1
2015,sanitary and chemical indicators,urban water pipelines,Donetsk,10.2
2016,sanitary and chemical indicators,urban water pipelines,Donetsk,9.1
2017,sanitary and chemical indicators,urban water pipelines,Donetsk,18.0
2018,sanitary and chemical indicators,urban water pipelines,Donetsk,21.7
2019,sanitary and chemical indicators,urban water pipelines,Donetsk,17.7
2020,sanitary and chemical indicators,urban water pipelines,Donetsk,17.0
2021,sanitary and chemical indicators,urban water pipelines,Donetsk,15.7
2022,sanitary and chemical indicators,urban water pipelines,Donetsk,29.0
2023,sanitary and chemical indicators,urban water pipelines,Donetsk,16.5
2024,sanitary and chemical indicators,urban water pipelines,Donetsk,6.1
2015,sanitary and chemical indicators,rural water pipelines,Donetsk,19.0
2016,sanitary and chemical indicators,rural water pipelines,Donetsk,29.1
2017,sanitary and chemical indicators,rural water pipelines,Donetsk,24.8
2018,sanitary and chemical indicators,rural water pipelines,Donetsk,16.2
2019,sanitary and chemical indicators,rural water pipelines,Donetsk,20.4
2020,sanitary and chemical indicators,rural water pipelines,Donetsk,18.9
2021,sanitary and chemical indicators,rural water pipelines,Donetsk,19.1
2022,sanitary and chemical indicators,rural water pipelines,Donetsk,70.9
2023,sanitary and chemical indicators,rural water pipelines,Donetsk,86.5
2024,sanitary and chemical indicators,rural water pipelines,Donetsk,73.2
2015,sanitary and chemical indicators,non-centralized water supply,Donetsk,70.6
2016,sanitary and chemical indicators,non-centralized water supply,Donetsk,15.2
2017,sanitary and chemical indicators,non-centralized water supply,Donetsk,63.5
2018,sanitary and chemical indicators,non-centralized water supply,Donetsk,58.3
2019,sanitary and chemical indicators,non-centralized water supply,Donetsk,54.4
2020,sanitary and chemical indicators,non-centralized water supply,Donetsk,58.5
2021,sanitary and chemical indicators,non-centralized water supply,Donetsk,52.9
2022,sanitary and chemical indicators,non-centralized water supply,Donetsk,63.1
2023,sanitary and chemical indicators,non-centralized water supply,Donetsk,56.7
2024,sanitary and chemical indicators,non-centralized water supply,Donetsk,48.1
2015,radiation indicators,urban water pipelines,Donetsk,0.0
2016,radiation indicators,urban water pipelines,Donetsk,0.0
2017,radiation indicators,urban water pipelines,Donetsk,0.0
2018,radiation indicators,urban water pipelines,Donetsk,0.0
2019,radiation indicators,urban water pipelines,Donetsk,0.0
2020,radiation indicators,urban water pipelines,Donetsk,0.0
2021,radiation indicators,urban water pipelines,Donetsk,0.0
2022,radiation indicators,urban water pipelines,Donetsk,0.0
2023,radiation indicators,urban water pipelines,Donetsk,0.0
2024,radiation indicators,urban water pipelines,Donetsk,0.0
2015,radiation indicators,rural water pipelines,Donetsk,0.0
2016,radiation indicators,rural water pipelines,Donetsk,0.0
2017,radiation indicators,rural water pipelines,Donetsk,0.0
2018,radiation indicators,rural water pipelines,Donetsk,0.0
2019,radiation indicators,rural water pipelines,Donetsk,0.0
2020,radiation indicators,rural water pipelines,Donetsk,0.0
2021,radiation indicators,rural water pipelines,Donetsk,0.0
2022,radiation indicators,rural water pipelines,Donetsk,0.0
2023,radiation indicators,rural water pipelines,Donetsk,0.0
2024,radiation indicators,rural water pipelines,Donetsk,0.0
2015,radiation indicators,non-centralized water supply,Donetsk,0.0
2016,radiation indicators,non-centralized water supply,Donetsk,0.0
2017,radiation indicators,non-centralized water supply,Donetsk,0.0
2018,radiation indicators,non-centralized water supply,Donetsk,0.0
2019,radiation indicators,non-centralized water supply,Donetsk,0.0
2020,radiation indicators,non-centralized water supply,Donetsk,0.0
2021,radiation indicators,non-centralized water supply,Donetsk,0.0
2022,radiation indicators,non-centralized water supply,Donetsk,0.0
2023,radiation indicators,non-centralized water supply,Donetsk,0.0
2024,radiation indicators,non-centralized water supply,Donetsk,0.0
2015,microbiological indicators,urban water pipelines,Zhytomyr,1.7
2016,microbiological indicators,urban water pipelines,Zhytomyr,4.4
2017,microbiological indicators,urban water pipelines,Zhytomyr,5.0
2018,microbiological indicators,urban water pipelines,Zhytomyr,6.5
2019,microbiological indicators,urban water pipelines,Zhytomyr,7.3
2020,microbiological indicators,urban water pipelines,Zhytomyr,6.4
2021,microbiological indicators,urban water pipelines,Zhytomyr,6.2
2022,microbiological indicators,urban water pipelines,Zhytomyr,4.1
2023,microbiological indicators,urban water pipelines,Zhytomyr,2.2
2024,microbiological indicators,urban water pipelines,Zhytomyr,2.6
2015,microbiological indicators,rural water pipelines,Zhytomyr,8.3
2016,microbiological indicators,rural water pipelines,Zhytomyr,6.7
2017,microbiological indicators,rural water pipelines,Zhytomyr,16.9
2018,microbiological indicators,rural water pipelines,Zhytomyr,11.4
2019,microbiological indicators,rural water pipelines,Zhytomyr,12.3
2020,microbiological indicators,rural water pipelines,Zhytomyr,7.6
2021,microbiological indicators,rural water pipelines,Zhytomyr,7.1
2022,microbiological indicators,rural water pipelines,Zhytomyr,8.4
2023,microbiological indicators,rural water pipelines,Zhytomyr,4.5
2024,microbiological indicators,rural water pipelines,Zhytomyr,11.3
2015,microbiological indicators,non-centralized water supply,Zhytomyr,18.2
2016,microbiological indicators,non-centralized water supply,Zhytomyr,8.0
2017,microbiological indicators,non-centralized water supply,Zhytomyr,29.8
2018,microbiological indicators,non-centralized water supply,Zhytomyr,30.9
2019,microbiological indicators,non-centralized water supply,Zhytomyr,36.1
2020,microbiological indicators,non-centralized water supply,Zhytomyr,30.7
2021,microbiological indicators,non-centralized water supply,Zhytomyr,28.7
2022,microbiological indicators,non-centralized water supply,Zhytomyr,39.4
2023,microbiological indicators,non-centralized water supply,Zhytomyr,37.9
2024,microbiological indicators,non-centralized water supply,Zhytomyr,26.7
2015,sanitary and chemical indicators,urban water pipelines,Zhytomyr,13.7
2016,sanitary and chemical indicators,urban water pipelines,Zhytomyr,19.2
2017,sanitary and chemical indicators,urban water pipelines,Zhytomyr,19.5
2018,sanitary and chemical indicators,urban water pipelines,Zhytomyr,27.9
2019,sanitary and chemical indicators,urban water pipelines,Zhytomyr,23.2
2020,sanitary and chemical indicators,urban water pipelines,Zhytomyr,35.1
2021,sanitary and chemical indicators,urban water pipelines,Zhytomyr,43.3
2022,sanitary and chemical indicators,urban water pipelines,Zhytomyr,14.0
2023,sanitary and chemical indicators,urban water pipelines,Zhytomyr,20.1
2024,sanitary and chemical indicators,urban water pipelines,Zhytomyr,20.9
2015,sanitary and chemical indicators,rural water pipelines,Zhytomyr,23.5
