Year,Specialties of fields of knowledge,Level (degree) of education,Value
2018,191 Architecture and urban planning,,59.44
2019,191 Architecture and urban planning,,58.64
2020,191 Architecture and urban planning,,59.15
2021,191 Architecture and urban planning,,59.82
2022,191 Architecture and urban planning,,60.39
2023,191 Architecture and urban planning,,61.94
2024,191 Architecture and urban planning,,65.39
2015,192 Building and civil engineering,,38.46
2016,192 Building and civil engineering,,21.44
2017,192 Building and civil engineering,,20.77
2018,192 Building and civil engineering,,20.58
2019,192 Building and civil engineering,,20.8
2020,192 Building and civil engineering,,20.89
2021,192 Building and civil engineering,,22.06
2022,192 Building and civil engineering,,20.52
2023,192 Building and civil engineering,,18.03
2024,192 Building and civil engineering,,17.45
2015,193 Geodesy and land management,,
2016,193 Geodesy and land management,,43.59
2017,193 Geodesy and land management,,42.92
2018,193 Geodesy and land management,,42.31
2019,193 Geodesy and land management,,41.76
2020,193 Geodesy and land management,,40.42
2021,193 Geodesy and land management,,40.3
2022,193 Geodesy and land management,,35.04
2023,193 Geodesy and land management,,29.92
2024,193 Geodesy and land management,,26.99
2015,"194 Hydrotechnical construction, water engineering and water technologies",,
2016,"194 Hydrotechnical construction, water engineering and water technologies",,
2017,"194 Hydrotechnical construction, water engineering and water technologies",,32.81
2018,"194 Hydrotechnical construction, water engineering and water technologies",,29.18
2019,"194 Hydrotechnical construction, water engineering and water technologies",,26.82
2020,"194 Hydrotechnical construction, water engineering and water technologies",,24.88
2021,"194 Hydrotechnical construction, water engineering and water technologies",,20.48
2022,"194 Hydrotechnical construction, water engineering and water technologies",,17.19
2023,"194 Hydrotechnical construction, water engineering and water technologies",,13.35
2024,"194 Hydrotechnical construction, water engineering and water technologies",,13.77
2015,201 Agronomy,,25.0
2016,201 Agronomy,,27.14
2017,201 Agronomy,,26.14
2018,201 Agronomy,,24.63
2019,201 Agronomy,,24.1
2020,201 Agronomy,,23.64
2021,201 Agronomy,,24.43
2022,201 Agronomy,,22.34
2023,201 Agronomy,,18.49
2024,201 Agronomy,,17.79
2015,202 Plant protection and quarantine,,
2016,202 Plant protection and quarantine,,45.72
2017,202 Plant protection and quarantine,,43.63
2018,202 Plant protection and quarantine,,41.39
2019,202 Plant protection and quarantine,,40.55
2020,202 Plant protection and quarantine,,40.12
2021,202 Plant protection and quarantine,,38.45
2022,202 Plant protection and quarantine,,30.85
2023,202 Plant protection and quarantine,,19.55
2024,202 Plant protection and quarantine,,21.53
2015,203 Horticulture and viticulture,,
2016,203 Horticulture and viticulture,,35.29
2017,203 Horticulture and viticulture,,36.89
2018,203 Horticulture and viticulture,,33.05
2019,203 Horticulture and viticulture,,30.84
2020,203 Horticulture and viticulture,,28.68
2021,203 Horticulture and viticulture,,31.03
2022,203 Horticulture and viticulture,,26.08
2023,203 Horticulture and viticulture,,22.74
2024,203 Horticulture and viticulture,,28.89
2015,"203 Horticulture, fruit growing and viticulture",,
2016,"203 Horticulture, fruit growing and viticulture",,
2017,"203 Horticulture, fruit growing and viticulture",,
2018,"203 Horticulture, fruit growing and viticulture",,
2019,"203 Horticulture, fruit growing and viticulture",,
2020,"203 Horticulture, fruit growing and viticulture",,
2021,"203 Horticulture, fruit growing and viticulture",,
2022,"203 Horticulture, fruit growing and viticulture",,
2023,"203 Horticulture, fruit growing and viticulture",,13.59
2024,"203 Horticulture, fruit growing and viticulture",,16.96
2015,204 Technology of production and processing of livestock products,,100.0
2016,204 Technology of production and processing of livestock products,,52.77
2017,204 Technology of production and processing of livestock products,,50.49
2018,204 Technology of production and processing of livestock products,,48.99
2019,204 Technology of production and processing of livestock products,,48.85
2020,204 Technology of production and processing of livestock products,,48.89
2021,204 Technology of production and processing of livestock products,,49.09
2022,204 Technology of production and processing of livestock products,,46.76
2023,204 Technology of production and processing of livestock products,,38.61
2024,204 Technology of production and processing of livestock products,,33.5
2015,205 Forestry,,
2016,205 Forestry,,11.9
2017,205 Forestry,,11.82
2018,205 Forestry,,10.92
2019,205 Forestry,,11.16
2020,205 Forestry,,11.21
2021,205 Forestry,,11.93
2022,205 Forestry,,10.26
2023,205 Forestry,,8.95
2024,205 Forestry,,8.5
2015,206 Horticulture,,
2016,206 Horticulture,,59.33
2017,206 Horticulture,,62.28
2018,206 Horticulture,,62.08
2019,206 Horticulture,,61.74
2020,206 Horticulture,,62.77
2021,206 Horticulture,,65.05
2022,206 Horticulture,,59.99
2023,206 Horticulture,,48.18
2024,206 Horticulture,,47.67
2015,207 Aquatic bioresources and aquaculture,,
2016,207 Aquatic bioresources and aquaculture,,32.22
2017,207 Aquatic bioresources and aquaculture,,29.82
2018,207 Aquatic bioresources and aquaculture,,26.7
2019,207 Aquatic bioresources and aquaculture,,25.26
2020,207 Aquatic bioresources and aquaculture,,24.18
2021,207 Aquatic bioresources and aquaculture,,22.06
2022,207 Aquatic bioresources and aquaculture,,19.16
2023,207 Aquatic bioresources and aquaculture,,13.45
2024,207 Aquatic bioresources and aquaculture,,11.88
2015,208 Agroengineering,,
2016,208 Agroengineering,,2.11
2017,208 Agroengineering,,2.18
2018,208 Agroengineering,,2.13
2019,208 Agroengineering,,2.44
2020,208 Agroengineering,,2.68
2021,208 Agroengineering,,2.9
2022,208 Agroengineering,,2.74
2023,208 Agroengineering,,2.41
2024,208 Agroengineering,,2.18
2015,251 State security,,
2016,251 State security,,3.39
2017,251 State security,,5.22
2018,251 State security,,13.5
2019,251 State security,,22.68
2020,251 State security,,28.51
2021,251 State security,,33.8
2022,251 State security,,30.65
2023,251 State security,,18.18
2024,251 State security,,15.0
2015,252 State border security,,
2016,252 State border security,,
2017,252 State border security,,
2018,252 State border security,,
2019,252 State border security,,
2020,252 State border security,,
2021,252 State border security,,
2022,252 State border security,,
2023,252 State border security,,
2024,252 State border security,,
2015,253 Military management,,
2016,253 Military management,,
2017,253 Military management,,
2018,253 Military management,,
2019,253 Military management,,
2020,253 Military management,,50.0
2021,253 Military management,,33.33
2022,253 Military management,,50.0
2023,253 Military management,,40.0
2024,253 Military management,,20.0
2015,255 Arms and military equipment,,
2016,255 Arms and military equipment,,8.33
2017,255 Arms and military equipment,,4.17
2018,255 Arms and military equipment,,6.06
2019,255 Arms and military equipment,,3.23
2020,255 Arms and military equipment,,3.33
2021,255 Arms and military equipment,,
2022,255 Arms and military equipment,,
2023,255 Arms and military equipment,,
2024,255 Arms and military equipment,,3.13
2015,256 National security,,
2016,256 National security,,
2017,256 National security,,53.57
2018,256 National security,,39.09
2019,256 National security,,34.56
2020,256 National security,,34.28
2021,256 National security,,31.98
2022,256 National security,,30.26
2023,256 National security,,29.42
2024,256 National security,,31.99
2015,257 Information security management,,
2016,257 Information security management,,
2017,257 Information security management,,
2018,257 Information security management,,
2019,257 Information security management,,
2020,257 Information security management,,
2021,257 Information security management,,
2022,257 Information security management,,
2023,257 Information security management,,
2024,257 Information security management,,
2015,261 Fire safety,,
2016,261 Fire safety,,10.4
2017,261 Fire safety,,10.84
2018,261 Fire safety,,12.88
2019,261 Fire safety,,15.39
2020,261 Fire safety,,16.9
2021,261 Fire safety,,17.16
2022,261 Fire safety,,25.75
2023,261 Fire safety,,26.81
2024,261 Fire safety,,25.45
2015,262 Law enforcement activity,,50.0
2016,262 Law enforcement activity,,52.82
2017,262 Law enforcement activity,,47.52
2018,262 Law enforcement activity,,48.24
2019,262 Law enforcement activity,,48.92
2020,262 Law enforcement activity,,51.29
2021,262 Law enforcement activity,,53.95
2022,262 Law enforcement activity,,50.01
2023,262 Law enforcement activity,,47.85
2024,262 Law enforcement activity,,50.71
2015,263 Civil security,,
2016,263 Civil security,,31.37
2017,263 Civil security,,34.2
2018,263 Civil security,,37.53
2019,263 Civil security,,38.63
2020,263 Civil security,,40.7
2021,263 Civil security,,40.89
2022,263 Civil security,,35.21
2023,263 Civil security,,30.79
2024,263 Civil security,,32.27
2015,271 Maritime and inland water transport,,
2016,271 Maritime and inland water transport,,
2017,271 Maritime and inland water transport,,
2018,271 Maritime and inland water transport,,
2019,271 Maritime and inland water transport,,
2020,271 Maritime and inland water transport,,
2021,271 Maritime and inland water transport,,
2022,271 Maritime and inland water transport,,1.12
2023,271 Maritime and inland water transport,,1.35
2024,271 Maritime and inland water transport,,1.79
2015,271 River and maritime transport,,
2016,271 River and maritime transport,,0.46
2017,271 River and maritime transport,,0.57
2018,271 River and maritime transport,,0.65
2019,271 River and maritime transport,,0.73
2020,271 River and maritime transport,,0.87
2021,271 River and maritime transport,,0.99
2022,271 River and maritime transport,,0.99
2023,271 River and maritime transport,,7.02
2024,271 River and maritime transport,,
2015,272 Aviation transport,,
2016,272 Aviation transport,,20.53
2017,272 Aviation transport,,17.3
2018,272 Aviation transport,,16.09
2019,272 Aviation transport,,15.79
2020,272 Aviation transport,,14.43
