Year,Types of economic activity,Value
2020,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",c
2021,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",
2022,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",c
2023,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",c
2024,"Water collection, treatment and supply (Code NACE Rev.2 – 36)",0.7
2015,Sewerage (Code NACE Rev.2 – 37),
2016,Sewerage (Code NACE Rev.2 – 37),
2017,Sewerage (Code NACE Rev.2 – 37),
2018,Sewerage (Code NACE Rev.2 – 37),
2019,Sewerage (Code NACE Rev.2 – 37),c
2020,Sewerage (Code NACE Rev.2 – 37),
2021,Sewerage (Code NACE Rev.2 – 37),c
2022,Sewerage (Code NACE Rev.2 – 37),
2023,Sewerage (Code NACE Rev.2 – 37),
2024,Sewerage (Code NACE Rev.2 – 37),
2015,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",0.0
2016,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",
2017,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2018,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2019,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",
2020,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",
2021,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2022,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2023,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2024,"Waste collection, treatment and disposal activities; materials recovery (Code NACE Rev.2 – 38)",c
2015,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2016,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2017,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2018,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2019,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2020,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2021,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2022,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2023,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
2024,Remediation activities and other waste management services (Code NACE Rev.2 – 39),
