Year,by types of economic activity,by the organisational and legal forms,Region,Value
2021,non-life insurance,,,
2022,non-life insurance,,,28.1
2023,non-life insurance,,,28.2
2024,non-life insurance,,,29.3
2025,non-life insurance,,,28.4
2016,reinsurance,,,
2017,reinsurance,,,
2018,reinsurance,,,
2019,reinsurance,,,
2020,reinsurance,,,
2021,reinsurance,,,
2022,reinsurance,,,16.7
2023,reinsurance,,,16.7
2024,reinsurance,,,16.7
2025,reinsurance,,,20.0
2016,pension funding,,,
2017,pension funding,,,
2018,pension funding,,,
2019,pension funding,,,
2020,pension funding,,,
2021,pension funding,,,
2022,pension funding,,,31.5
2023,pension funding,,,31.8
2024,pension funding,,,39.8
2025,pension funding,,,39.8
2016,administration of financial markets,,,
2017,administration of financial markets,,,
2018,administration of financial markets,,,
2019,administration of financial markets,,,
2020,administration of financial markets,,,
2021,administration of financial markets,,,
2022,administration of financial markets,,,23.4
2023,administration of financial markets,,,22.6
2024,administration of financial markets,,,21.1
2025,administration of financial markets,,,19.6
2016,security and commodity contracts brokerage,,,
2017,security and commodity contracts brokerage,,,
2018,security and commodity contracts brokerage,,,
2019,security and commodity contracts brokerage,,,
2020,security and commodity contracts brokerage,,,
2021,security and commodity contracts brokerage,,,
2022,security and commodity contracts brokerage,,,25.6
2023,security and commodity contracts brokerage,,,25.3
2024,security and commodity contracts brokerage,,,25.2
2025,security and commodity contracts brokerage,,,25.9
2016,"other activities auxiliary to financial services, except insurance and pension funding",,,
2017,"other activities auxiliary to financial services, except insurance and pension funding",,,
2018,"other activities auxiliary to financial services, except insurance and pension funding",,,
2019,"other activities auxiliary to financial services, except insurance and pension funding",,,
2020,"other activities auxiliary to financial services, except insurance and pension funding",,,
2021,"other activities auxiliary to financial services, except insurance and pension funding",,,
2022,"other activities auxiliary to financial services, except insurance and pension funding",,,26.7
2023,"other activities auxiliary to financial services, except insurance and pension funding",,,26.4
2024,"other activities auxiliary to financial services, except insurance and pension funding",,,25.5
2025,"other activities auxiliary to financial services, except insurance and pension funding",,,23.7
2016,risk and damage evaluation,,,
2017,risk and damage evaluation,,,
2018,risk and damage evaluation,,,
2019,risk and damage evaluation,,,
2020,risk and damage evaluation,,,
2021,risk and damage evaluation,,,
2022,risk and damage evaluation,,,23.0
2023,risk and damage evaluation,,,22.8
2024,risk and damage evaluation,,,23.3
2025,risk and damage evaluation,,,23.9
2016,activities of insurance agents and brokers,,,
2017,activities of insurance agents and brokers,,,
2018,activities of insurance agents and brokers,,,
2019,activities of insurance agents and brokers,,,
2020,activities of insurance agents and brokers,,,
2021,activities of insurance agents and brokers,,,
2022,activities of insurance agents and brokers,,,30.5
2023,activities of insurance agents and brokers,,,30.3
2024,activities of insurance agents and brokers,,,30.5
2025,activities of insurance agents and brokers,,,30.4
2016,other activities auxiliary to insurance and pension funding,,,
2017,other activities auxiliary to insurance and pension funding,,,
2018,other activities auxiliary to insurance and pension funding,,,
2019,other activities auxiliary to insurance and pension funding,,,
2020,other activities auxiliary to insurance and pension funding,,,
2021,other activities auxiliary to insurance and pension funding,,,
2022,other activities auxiliary to insurance and pension funding,,,30.1
2023,other activities auxiliary to insurance and pension funding,,,29.6
2024,other activities auxiliary to insurance and pension funding,,,29.0
2025,other activities auxiliary to insurance and pension funding,,,31.5
2016,fund management activities,,,
2017,fund management activities,,,
2018,fund management activities,,,
2019,fund management activities,,,
2020,fund management activities,,,
2021,fund management activities,,,
2022,fund management activities,,,35.3
2023,fund management activities,,,32.7
2024,fund management activities,,,31.9
2025,fund management activities,,,29.8
2016,buying and selling of own real estate,,,
2017,buying and selling of own real estate,,,
2018,buying and selling of own real estate,,,
2019,buying and selling of own real estate,,,
2020,buying and selling of own real estate,,,
2021,buying and selling of own real estate,,,
2022,buying and selling of own real estate,,,28.7
2023,buying and selling of own real estate,,,28.8
2024,buying and selling of own real estate,,,28.7
2025,buying and selling of own real estate,,,29.8
2016,renting and operating of own or leased real estate,,,
2017,renting and operating of own or leased real estate,,,
2018,renting and operating of own or leased real estate,,,
2019,renting and operating of own or leased real estate,,,
2020,renting and operating of own or leased real estate,,,
2021,renting and operating of own or leased real estate,,,
2022,renting and operating of own or leased real estate,,,36.2
2023,renting and operating of own or leased real estate,,,36.2
2024,renting and operating of own or leased real estate,,,36.3
2025,renting and operating of own or leased real estate,,,37.5
2016,real estate agencies,,,
2017,real estate agencies,,,
2018,real estate agencies,,,
2019,real estate agencies,,,
2020,real estate agencies,,,
2021,real estate agencies,,,
2022,real estate agencies,,,38.9
2023,real estate agencies,,,38.4
2024,real estate agencies,,,38.0
2025,real estate agencies,,,38.2
2016,management of real estate on a fee or contract basis,,,
2017,management of real estate on a fee or contract basis,,,
2018,management of real estate on a fee or contract basis,,,
2019,management of real estate on a fee or contract basis,,,
2020,management of real estate on a fee or contract basis,,,
2021,management of real estate on a fee or contract basis,,,
2022,management of real estate on a fee or contract basis,,,37.7
2023,management of real estate on a fee or contract basis,,,37.5
2024,management of real estate on a fee or contract basis,,,37.4
2025,management of real estate on a fee or contract basis,,,37.8
2016,legal activities,,,
2017,legal activities,,,
2018,legal activities,,,
2019,legal activities,,,
2020,legal activities,,,
2021,legal activities,,,
2022,legal activities,,,31.0
2023,legal activities,,,31.0
2024,legal activities,,,30.8
2025,legal activities,,,31.5
2016,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2017,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2018,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2019,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2020,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2021,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2022,"accounting, bookkeeping and auditing activities; tax consultancy",,,60.6
2023,"accounting, bookkeeping and auditing activities; tax consultancy",,,59.5
2024,"accounting, bookkeeping and auditing activities; tax consultancy",,,59.6
2025,"accounting, bookkeeping and auditing activities; tax consultancy",,,59.9
2016,activities of head offices,,,
2017,activities of head offices,,,
2018,activities of head offices,,,
2019,activities of head offices,,,
2020,activities of head offices,,,
2021,activities of head offices,,,
2022,activities of head offices,,,17.4
2023,activities of head offices,,,16.4
2024,activities of head offices,,,16.4
2025,activities of head offices,,,15.3
2016,public relations and communication activities,,,
2017,public relations and communication activities,,,
2018,public relations and communication activities,,,
2019,public relations and communication activities,,,
2020,public relations and communication activities,,,
2021,public relations and communication activities,,,
2022,public relations and communication activities,,,37.8
2023,public relations and communication activities,,,37.9
2024,public relations and communication activities,,,37.6
2025,public relations and communication activities,,,37.2
2016,business and other management consultancy activities,,,
2017,business and other management consultancy activities,,,
2018,business and other management consultancy activities,,,
2019,business and other management consultancy activities,,,
2020,business and other management consultancy activities,,,
2021,business and other management consultancy activities,,,
2022,business and other management consultancy activities,,,32.3
2023,business and other management consultancy activities,,,32.3
2024,business and other management consultancy activities,,,31.5
2025,business and other management consultancy activities,,,32.1
2016,architectural activities,,,
2017,architectural activities,,,
2018,architectural activities,,,
2019,architectural activities,,,
2020,architectural activities,,,
2021,architectural activities,,,
2022,architectural activities,,,28.8
2023,architectural activities,,,28.8
2024,architectural activities,,,28.2
2025,architectural activities,,,29.4
2016,engineering activities and related technical consultancy,,,
2017,engineering activities and related technical consultancy,,,
2018,engineering activities and related technical consultancy,,,
2019,engineering activities and related technical consultancy,,,
2020,engineering activities and related technical consultancy,,,
2021,engineering activities and related technical consultancy,,,
2022,engineering activities and related technical consultancy,,,24.9
2023,engineering activities and related technical consultancy,,,24.7
2024,engineering activities and related technical consultancy,,,25.0
2025,engineering activities and related technical consultancy,,,25.9
2016,technical testing and analysis,,,
2017,technical testing and analysis,,,
2018,technical testing and analysis,,,
2019,technical testing and analysis,,,
2020,technical testing and analysis,,,
2021,technical testing and analysis,,,
2022,technical testing and analysis,,,24.9
2023,technical testing and analysis,,,25.4
2024,technical testing and analysis,,,25.3
2025,technical testing and analysis,,,26.0
2016,research and experimental development on biotechnology,,,
2017,research and experimental development on biotechnology,,,
2018,research and experimental development on biotechnology,,,
2019,research and experimental development on biotechnology,,,
2020,research and experimental development on biotechnology,,,
2021,research and experimental development on biotechnology,,,
2022,research and experimental development on biotechnology,,,25.9
2023,research and experimental development on biotechnology,,,24.3
2024,research and experimental development on biotechnology,,,25.3
2025,research and experimental development on biotechnology,,,26.8
2016,other research and experimental development on natural sciences and engineering,,,
2017,other research and experimental development on natural sciences and engineering,,,
2018,other research and experimental development on natural sciences and engineering,,,
2019,other research and experimental development on natural sciences and engineering,,,
2020,other research and experimental development on natural sciences and engineering,,,
2021,other research and experimental development on natural sciences and engineering,,,
2022,other research and experimental development on natural sciences and engineering,,,18.7
2023,other research and experimental development on natural sciences and engineering,,,19.0
2024,other research and experimental development on natural sciences and engineering,,,19.3
2025,other research and experimental development on natural sciences and engineering,,,19.7
2016,research and experimental development on social sciences and humanities,,,
2017,research and experimental development on social sciences and humanities,,,
2018,research and experimental development on social sciences and humanities,,,
2019,research and experimental development on social sciences and humanities,,,
2020,research and experimental development on social sciences and humanities,,,
2021,research and experimental development on social sciences and humanities,,,
2022,research and experimental development on social sciences and humanities,,,31.5
2023,research and experimental development on social sciences and humanities,,,32.1
2024,research and experimental development on social sciences and humanities,,,31.2
2025,research and experimental development on social sciences and humanities,,,32.7
2016,advertising agencies,,,
2017,advertising agencies,,,
2018,advertising agencies,,,
2019,advertising agencies,,,
2020,advertising agencies,,,
2021,advertising agencies,,,
2022,advertising agencies,,,33.9
2023,advertising agencies,,,33.6
2024,advertising agencies,,,33.4
2025,advertising agencies,,,34.2
2016,media representation,,,
2017,media representation,,,
2018,media representation,,,
2019,media representation,,,
2020,media representation,,,
2021,media representation,,,
2022,media representation,,,34.6
2023,media representation,,,34.8
2024,media representation,,,34.4
2025,media representation,,,35.2
2016,market research and public opinion polling,,,
2017,market research and public opinion polling,,,
2018,market research and public opinion polling,,,
2019,market research and public opinion polling,,,
2020,market research and public opinion polling,,,
2021,market research and public opinion polling,,,
2022,market research and public opinion polling,,,35.2
2023,market research and public opinion polling,,,34.6
2024,market research and public opinion polling,,,34.4
2025,market research and public opinion polling,,,35.2
2016,specialised design activities,,,
2017,specialised design activities,,,
2018,specialised design activities,,,
2019,specialised design activities,,,
2020,specialised design activities,,,
2021,specialised design activities,,,
2022,specialised design activities,,,41.2
2023,specialised design activities,,,41.2
2024,specialised design activities,,,40.8
2025,specialised design activities,,,41.6
2016,photographic activities,,,
2017,photographic activities,,,
2018,photographic activities,,,
2019,photographic activities,,,
2020,photographic activities,,,
2021,photographic activities,,,
2022,photographic activities,,,33.8
2023,photographic activities,,,32.9
2024,photographic activities,,,32.7
2025,photographic activities,,,34.8
2016,translation and interpretation activities,,,
2017,translation and interpretation activities,,,
2018,translation and interpretation activities,,,
2019,translation and interpretation activities,,,
2020,translation and interpretation activities,,,
2021,translation and interpretation activities,,,
2022,translation and interpretation activities,,,50.9
2023,translation and interpretation activities,,,50.1
2024,translation and interpretation activities,,,49.1
2025,translation and interpretation activities,,,51.0
2016,"other professional, scientific and technical activities n.e.c.",,,
2017,"other professional, scientific and technical activities n.e.c.",,,
2018,"other professional, scientific and technical activities n.e.c.",,,
2019,"other professional, scientific and technical activities n.e.c.",,,
2020,"other professional, scientific and technical activities n.e.c.",,,
2021,"other professional, scientific and technical activities n.e.c.",,,
2022,"other professional, scientific and technical activities n.e.c.",,,26.7
2023,"other professional, scientific and technical activities n.e.c.",,,27.3
2024,"other professional, scientific and technical activities n.e.c.",,,27.7
2025,"other professional, scientific and technical activities n.e.c.",,,28.4
2016,veterinary activities,,,
2017,veterinary activities,,,
2018,veterinary activities,,,
2019,veterinary activities,,,
2020,veterinary activities,,,
2021,veterinary activities,,,
2022,veterinary activities,,,35.1
2023,veterinary activities,,,35.9
2024,veterinary activities,,,38.6
2025,veterinary activities,,,40.6
2016,renting and leasing of cars and light motor vehicles,,,
2017,renting and leasing of cars and light motor vehicles,,,
2018,renting and leasing of cars and light motor vehicles,,,
2019,renting and leasing of cars and light motor vehicles,,,
2020,renting and leasing of cars and light motor vehicles,,,
2021,renting and leasing of cars and light motor vehicles,,,
2022,renting and leasing of cars and light motor vehicles,,,22.2
2023,renting and leasing of cars and light motor vehicles,,,22.4
2024,renting and leasing of cars and light motor vehicles,,,22.2
2025,renting and leasing of cars and light motor vehicles,,,23.3
2016,renting and leasing of trucks,,,
2017,renting and leasing of trucks,,,
2018,renting and leasing of trucks,,,
2019,renting and leasing of trucks,,,
2020,renting and leasing of trucks,,,
2021,renting and leasing of trucks,,,
2022,renting and leasing of trucks,,,29.3
2023,renting and leasing of trucks,,,29.3
2024,renting and leasing of trucks,,,29.2
2025,renting and leasing of trucks,,,30.9
2016,renting and leasing of recreational and sports goods,,,
2017,renting and leasing of recreational and sports goods,,,
2018,renting and leasing of recreational and sports goods,,,
2019,renting and leasing of recreational and sports goods,,,
2020,renting and leasing of recreational and sports goods,,,
2021,renting and leasing of recreational and sports goods,,,
2022,renting and leasing of recreational and sports goods,,,27.0
2023,renting and leasing of recreational and sports goods,,,29.8
2024,renting and leasing of recreational and sports goods,,,26.6
2025,renting and leasing of recreational and sports goods,,,30.0
2016,renting of video tapes and disks,,,
2017,renting of video tapes and disks,,,
2018,renting of video tapes and disks,,,
2019,renting of video tapes and disks,,,
2020,renting of video tapes and disks,,,
2021,renting of video tapes and disks,,,
2022,renting of video tapes and disks,,,50.0
2023,renting of video tapes and disks,,,50.0
2024,renting of video tapes and disks,,,40.0
2025,renting of video tapes and disks,,,40.0
2016,renting and leasing of other personal and household goods,,,
2017,renting and leasing of other personal and household goods,,,
2018,renting and leasing of other personal and household goods,,,
2019,renting and leasing of other personal and household goods,,,
2020,renting and leasing of other personal and household goods,,,
2021,renting and leasing of other personal and household goods,,,
2022,renting and leasing of other personal and household goods,,,31.4
2023,renting and leasing of other personal and household goods,,,33.9
2024,renting and leasing of other personal and household goods,,,37.6
2025,renting and leasing of other personal and household goods,,,37.8
2016,renting and leasing of agricultural machinery and equipment,,,
2017,renting and leasing of agricultural machinery and equipment,,,
2018,renting and leasing of agricultural machinery and equipment,,,
2019,renting and leasing of agricultural machinery and equipment,,,
2020,renting and leasing of agricultural machinery and equipment,,,
2021,renting and leasing of agricultural machinery and equipment,,,
2022,renting and leasing of agricultural machinery and equipment,,,23.3
2023,renting and leasing of agricultural machinery and equipment,,,23.9
2024,renting and leasing of agricultural machinery and equipment,,,24.8
2025,renting and leasing of agricultural machinery and equipment,,,23.3
2016,renting and leasing of construction and civil engineering machinery,,,
2017,renting and leasing of construction and civil engineering machinery,,,
2018,renting and leasing of construction and civil engineering machinery,,,
2019,renting and leasing of construction and civil engineering machinery,,,
2020,renting and leasing of construction and civil engineering machinery,,,
2021,renting and leasing of construction and civil engineering machinery,,,
2022,renting and leasing of construction and civil engineering machinery,,,24.0
2023,renting and leasing of construction and civil engineering machinery,,,23.1
2024,renting and leasing of construction and civil engineering machinery,,,23.0
2025,renting and leasing of construction and civil engineering machinery,,,23.7
2016,renting and leasing of office machinery and equipment (including computers),,,
2017,renting and leasing of office machinery and equipment (including computers),,,
2018,renting and leasing of office machinery and equipment (including computers),,,
2019,renting and leasing of office machinery and equipment (including computers),,,
2020,renting and leasing of office machinery and equipment (including computers),,,
2021,renting and leasing of office machinery and equipment (including computers),,,
2022,renting and leasing of office machinery and equipment (including computers),,,32.0
2023,renting and leasing of office machinery and equipment (including computers),,,32.4
2024,renting and leasing of office machinery and equipment (including computers),,,31.0
2025,renting and leasing of office machinery and equipment (including computers),,,31.6
2016,renting and leasing of water transport equipment,,,
2017,renting and leasing of water transport equipment,,,
2018,renting and leasing of water transport equipment,,,
2019,renting and leasing of water transport equipment,,,
2020,renting and leasing of water transport equipment,,,
2021,renting and leasing of water transport equipment,,,
2022,renting and leasing of water transport equipment,,,9.1
2023,renting and leasing of water transport equipment,,,13.8
2024,renting and leasing of water transport equipment,,,15.6
2025,renting and leasing of water transport equipment,,,17.2
2016,renting and leasing of air transport equipment,,,
2017,renting and leasing of air transport equipment,,,
2018,renting and leasing of air transport equipment,,,
2019,renting and leasing of air transport equipment,,,
2020,renting and leasing of air transport equipment,,,
2021,renting and leasing of air transport equipment,,,
2022,renting and leasing of air transport equipment,,,30.4
2023,renting and leasing of air transport equipment,,,26.9
2024,renting and leasing of air transport equipment,,,20.0
2025,renting and leasing of air transport equipment,,,25.0
2016,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2017,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2018,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2019,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2020,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2021,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2022,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,28.2
2023,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,27.9
2024,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,27.9
2025,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,29.2
2016,"leasing of intellectual property and similar products, except copyrighted works",,,
2017,"leasing of intellectual property and similar products, except copyrighted works",,,
2018,"leasing of intellectual property and similar products, except copyrighted works",,,
2019,"leasing of intellectual property and similar products, except copyrighted works",,,
2020,"leasing of intellectual property and similar products, except copyrighted works",,,
2021,"leasing of intellectual property and similar products, except copyrighted works",,,
2022,"leasing of intellectual property and similar products, except copyrighted works",,,30.0
2023,"leasing of intellectual property and similar products, except copyrighted works",,,32.0
2024,"leasing of intellectual property and similar products, except copyrighted works",,,32.4
2025,"leasing of intellectual property and similar products, except copyrighted works",,,35.7
2016,activities of employment placement agencies,,,
2017,activities of employment placement agencies,,,
2018,activities of employment placement agencies,,,
2019,activities of employment placement agencies,,,
2020,activities of employment placement agencies,,,
2021,activities of employment placement agencies,,,
2022,activities of employment placement agencies,,,39.5
2023,activities of employment placement agencies,,,39.6
2024,activities of employment placement agencies,,,39.4
2025,activities of employment placement agencies,,,39.0
2016,temporary employment agency activities,,,
2017,temporary employment agency activities,,,
2018,temporary employment agency activities,,,
2019,temporary employment agency activities,,,
2020,temporary employment agency activities,,,
2021,temporary employment agency activities,,,
2022,temporary employment agency activities,,,46.5
2023,temporary employment agency activities,,,46.6
2024,temporary employment agency activities,,,46.4
2025,temporary employment agency activities,,,46.2
2016,other human resources provision,,,
2017,other human resources provision,,,
2018,other human resources provision,,,
2019,other human resources provision,,,
2020,other human resources provision,,,
2021,other human resources provision,,,
2022,other human resources provision,,,42.8
2023,other human resources provision,,,42.3
2024,other human resources provision,,,42.6
2025,other human resources provision,,,43.7
2016,travel agency activities,,,
2017,travel agency activities,,,
2018,travel agency activities,,,
2019,travel agency activities,,,
2020,travel agency activities,,,
2021,travel agency activities,,,
2022,travel agency activities,,,58.1
2023,travel agency activities,,,57.9
2024,travel agency activities,,,57.0
2025,travel agency activities,,,57.1
2016,tour operator activities,,,
2017,tour operator activities,,,
2018,tour operator activities,,,
2019,tour operator activities,,,
2020,tour operator activities,,,
2021,tour operator activities,,,
2022,tour operator activities,,,58.9
2023,tour operator activities,,,58.5
2024,tour operator activities,,,57.4
2025,tour operator activities,,,57.7
2016,other reservation service and related activities,,,
2017,other reservation service and related activities,,,
2018,other reservation service and related activities,,,
2019,other reservation service and related activities,,,
2020,other reservation service and related activities,,,
2021,other reservation service and related activities,,,
2022,other reservation service and related activities,,,36.4
2023,other reservation service and related activities,,,37.4
2024,other reservation service and related activities,,,36.9
2025,other reservation service and related activities,,,38.2
2016,private security activities,,,
2017,private security activities,,,
2018,private security activities,,,
2019,private security activities,,,
2020,private security activities,,,
2021,private security activities,,,
2022,private security activities,,,13.1
2023,private security activities,,,13.3
2024,private security activities,,,13.6
2025,private security activities,,,14.4
2016,security systems service activities,,,
2017,security systems service activities,,,
2018,security systems service activities,,,
2019,security systems service activities,,,
2020,security systems service activities,,,
2021,security systems service activities,,,
2022,security systems service activities,,,15.9
2023,security systems service activities,,,15.9
2024,security systems service activities,,,16.5
2025,security systems service activities,,,17.7
2016,investigation activities,,,
2017,investigation activities,,,
2018,investigation activities,,,
2019,investigation activities,,,
2020,investigation activities,,,
2021,investigation activities,,,
2022,investigation activities,,,13.1
2023,investigation activities,,,13.9
2024,investigation activities,,,13.7
2025,investigation activities,,,13.5
2016,combined facilities support activities,,,
2017,combined facilities support activities,,,
2018,combined facilities support activities,,,
2019,combined facilities support activities,,,
2020,combined facilities support activities,,,
2021,combined facilities support activities,,,
2022,combined facilities support activities,,,44.2
2023,combined facilities support activities,,,44.2
2024,combined facilities support activities,,,44.4
2025,combined facilities support activities,,,44.9
2016,general cleaning of buildings,,,
2017,general cleaning of buildings,,,
2018,general cleaning of buildings,,,
2019,general cleaning of buildings,,,
2020,general cleaning of buildings,,,
2021,general cleaning of buildings,,,
2022,general cleaning of buildings,,,37.2
2023,general cleaning of buildings,,,36.5
2024,general cleaning of buildings,,,35.9
2025,general cleaning of buildings,,,36.7
2016,other building and industrial cleaning activities,,,
2017,other building and industrial cleaning activities,,,
2018,other building and industrial cleaning activities,,,
2019,other building and industrial cleaning activities,,,
2020,other building and industrial cleaning activities,,,
2021,other building and industrial cleaning activities,,,
2022,other building and industrial cleaning activities,,,29.0
2023,other building and industrial cleaning activities,,,29.3
2024,other building and industrial cleaning activities,,,29.2
2025,other building and industrial cleaning activities,,,30.8
2016,other cleaning activities,,,
2017,other cleaning activities,,,
2018,other cleaning activities,,,
2019,other cleaning activities,,,
2020,other cleaning activities,,,
2021,other cleaning activities,,,
2022,other cleaning activities,,,28.1
2023,other cleaning activities,,,27.9
2024,other cleaning activities,,,27.5
2025,other cleaning activities,,,27.4
2016,landscape service activities,,,
2017,landscape service activities,,,
2018,landscape service activities,,,
2019,landscape service activities,,,
2020,landscape service activities,,,
2021,landscape service activities,,,
2022,landscape service activities,,,30.2
2023,landscape service activities,,,31.4
2024,landscape service activities,,,30.6
2025,landscape service activities,,,30.5
2016,combined office administrative service activities,,,
2017,combined office administrative service activities,,,
2018,combined office administrative service activities,,,
2019,combined office administrative service activities,,,
2020,combined office administrative service activities,,,
2021,combined office administrative service activities,,,
2022,combined office administrative service activities,,,33.8
2023,combined office administrative service activities,,,33.6
2024,combined office administrative service activities,,,33.5
2025,combined office administrative service activities,,,37.0
2016,"photocopying, document preparation and other specialised office support activities",,,
2017,"photocopying, document preparation and other specialised office support activities",,,
2018,"photocopying, document preparation and other specialised office support activities",,,
2019,"photocopying, document preparation and other specialised office support activities",,,
2020,"photocopying, document preparation and other specialised office support activities",,,
2021,"photocopying, document preparation and other specialised office support activities",,,
2022,"photocopying, document preparation and other specialised office support activities",,,47.0
2023,"photocopying, document preparation and other specialised office support activities",,,44.3
2024,"photocopying, document preparation and other specialised office support activities",,,42.4
2025,"photocopying, document preparation and other specialised office support activities",,,38.1
2016,activities of call centres,,,
2017,activities of call centres,,,
2018,activities of call centres,,,
2019,activities of call centres,,,
2020,activities of call centres,,,
2021,activities of call centres,,,
2022,activities of call centres,,,33.9
2023,activities of call centres,,,32.3
2024,activities of call centres,,,31.6
2025,activities of call centres,,,31.6
2016,organisation of conventions and trade shows,,,
2017,organisation of conventions and trade shows,,,
2018,organisation of conventions and trade shows,,,
2019,organisation of conventions and trade shows,,,
2020,organisation of conventions and trade shows,,,
2021,organisation of conventions and trade shows,,,
2022,organisation of conventions and trade shows,,,42.1
2023,organisation of conventions and trade shows,,,42.5
2024,organisation of conventions and trade shows,,,41.6
2025,organisation of conventions and trade shows,,,42.0
2016,activities of collection agencies and credit bureaus,,,
2017,activities of collection agencies and credit bureaus,,,
2018,activities of collection agencies and credit bureaus,,,
2019,activities of collection agencies and credit bureaus,,,
2020,activities of collection agencies and credit bureaus,,,
2021,activities of collection agencies and credit bureaus,,,
2022,activities of collection agencies and credit bureaus,,,17.0
2023,activities of collection agencies and credit bureaus,,,15.3
2024,activities of collection agencies and credit bureaus,,,19.9
2025,activities of collection agencies and credit bureaus,,,21.6
2016,packaging activities,,,
2017,packaging activities,,,
2018,packaging activities,,,
2019,packaging activities,,,
2020,packaging activities,,,
2021,packaging activities,,,
2022,packaging activities,,,29.9
2023,packaging activities,,,29.6
2024,packaging activities,,,29.3
2025,packaging activities,,,29.1
2016,other business support service activities n.e.c.,,,
2017,other business support service activities n.e.c.,,,
2018,other business support service activities n.e.c.,,,
2019,other business support service activities n.e.c.,,,
2020,other business support service activities n.e.c.,,,
2021,other business support service activities n.e.c.,,,
2022,other business support service activities n.e.c.,,,30.8
2023,other business support service activities n.e.c.,,,30.5
2024,other business support service activities n.e.c.,,,30.2
2025,other business support service activities n.e.c.,,,30.5
2016,general government administration,,,
2017,general government administration,,,
2018,general government administration,,,
2019,general government administration,,,
2020,general government administration,,,
2021,general government administration,,,
2022,general government administration,,,60.9
2023,general government administration,,,61.3
2024,general government administration,,,62.1
2025,general government administration,,,62.8
2016,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2017,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2018,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2019,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2020,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2021,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2022,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,74.7
2023,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,74.9
2024,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,76.4
2025,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,76.2
2016,regulation and promotion of effective economic activity,,,
2017,regulation and promotion of effective economic activity,,,
2018,regulation and promotion of effective economic activity,,,
2019,regulation and promotion of effective economic activity,,,
2020,regulation and promotion of effective economic activity,,,
2021,regulation and promotion of effective economic activity,,,
2022,regulation and promotion of effective economic activity,,,31.0
2023,regulation and promotion of effective economic activity,,,32.6
2024,regulation and promotion of effective economic activity,,,35.6
2025,regulation and promotion of effective economic activity,,,40.0
2016,international activities,,,
2017,international activities,,,
2018,international activities,,,
2019,international activities,,,
2020,international activities,,,
2021,international activities,,,
2022,international activities,,,24.7
2023,international activities,,,25.3
2024,international activities,,,26.7
2025,international activities,,,29.8
2016,activities in the field of defense,,,
2017,activities in the field of defense,,,
2018,activities in the field of defense,,,
2019,activities in the field of defense,,,
2020,activities in the field of defense,,,
2021,activities in the field of defense,,,
2022,activities in the field of defense,,,5.7
2023,activities in the field of defense,,,7.6
2024,activities in the field of defense,,,4.9
2025,activities in the field of defense,,,5.3
2016,activities in the field of justice and justice,,,
2017,activities in the field of justice and justice,,,
2018,activities in the field of justice and justice,,,
2019,activities in the field of justice and justice,,,
2020,activities in the field of justice and justice,,,
2021,activities in the field of justice and justice,,,
2022,activities in the field of justice and justice,,,52.1
2023,activities in the field of justice and justice,,,52.9
2024,activities in the field of justice and justice,,,51.1
2025,activities in the field of justice and justice,,,50.2
2016,activities in the field of public order and safety,,,
2017,activities in the field of public order and safety,,,
2018,activities in the field of public order and safety,,,
2019,activities in the field of public order and safety,,,
2020,activities in the field of public order and safety,,,
2021,activities in the field of public order and safety,,,
2022,activities in the field of public order and safety,,,3.2
2023,activities in the field of public order and safety,,,3.6
2024,activities in the field of public order and safety,,,4.0
2025,activities in the field of public order and safety,,,4.3
2016,activities of fire services,,,
2017,activities of fire services,,,
2018,activities of fire services,,,
2019,activities of fire services,,,
2020,activities of fire services,,,
2021,activities of fire services,,,
2022,activities of fire services,,,4.3
2023,activities of fire services,,,4.5
2024,activities of fire services,,,4.6
2025,activities of fire services,,,4.2
2016,activities in the field of compulsory social insurance,,,
